Product,TC_ID,TC_Category,TC_Title,TC_Layer,TC_Customers,TC_FixVersion,DateTime_Started,DateTime_Finished,TestRun-Duration,TestRun-Result,TestRun-Retries,Env-CoreServiceVersion,Env-EnvName,Env-StackName
NFS,NFS-11094,Smoke,SmokeTC003 - Contract Event (Without GVI),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:33,10/16/2025 4:37,0:03:35,PASSED,1,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10857,Smoke,SmokeTC002 - Contract Event (With GVI),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:29,10/16/2025 4:33,0:03:56,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10817,Smoke,SmokeTC001 - Product TC 1 & 2,UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:29,10/16/2025 4:38,0:08:27,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10859,Smoke,"SmokeTC004 - Perform multiple AG Events, then close AG using Termination Option",UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:29,10/16/2025 4:48,0:18:55,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10864,Smoke,SmokeTC008 - Create GL Balance Report Profile & Job (IAS & GAAP Standard),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:52,10/16/2025 5:09,0:16:43,PASSED,1,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10862,Smoke,SmokeTC006 - Periodic Posting Status Report (IAS & GAAP),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:37,10/16/2025 4:54,0:17:23,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-2086,Smoke,SmokeTC005 - Perform Sap External postings (Simple With GVI),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:33,10/16/2025 4:54,0:20:58,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10865,Smoke,"SmokeTC009 - Validating workflows for MLA, Contract, Lease component and AG at inception level",UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:54,10/16/2025 5:00,0:05:48,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-8035,Smoke,SmokeTC007 - NFS Mass Export (Contract),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:09,10/16/2025 5:26,0:17:40,PASSED,1,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10866,Smoke,SmokeTC010 - Mass Modification - Create Mass Modification Profile & Job,UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 4:54,10/16/2025 5:09,0:14:32,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10868,Smoke,"SmokeTC012 - Validating workflows for Contract, Lease component and AG at event level",UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:09,10/16/2025 5:14,0:05:09,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10869,Smoke,SmokeTC013 - Create CPI Local Mass Indexation Profile & Job (Lease & Non-Lease),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:09,10/16/2025 5:16,0:06:58,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-8015,Smoke,SmokeTC011 - NFS Mass Export (Lease Component),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:31,10/16/2025 5:42,0:11:31,PASSED,1,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10876,Smoke,SmokeTC015 - Perform Mass Import Job for Contact,UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:16,10/16/2025 5:32,0:15:40,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10870,Smoke,SmokeTC014 - All Scheduler jobs,UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:14,10/16/2025 5:34,0:19:33,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10877,Smoke,SmokeTC016 - Perform Mass Import Job for LC and Charge (Non-GVI),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:26,10/16/2025 5:44,0:17:49,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10879,Smoke,SmokeTC018 - Perform Consolidated Transaction Report Job with Profile for (IAS & GAAP),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:34,10/16/2025 5:45,0:11:34,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-10878,Smoke,SmokeTC017 - Perform Activity Analysis Report Job with Profile (IAS & GAAP),UI,None,Nakisa 2023.R4 & Earlier,10/16/2025 5:32,10/16/2025 5:51,0:18:45,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
NFS,NFS-13834,Smoke,SmokeTC020 -  DQI AG Report,UI,None,Nakisa 2024.R1,10/16/2025 5:44,10/16/2025 5:51,0:07:00,PASSED,0,25.40.1-rm-release-n2025-r4.v3fa05db1,rb-env2,release2
